Business_id,Business_Category,Category_type,Map,Product_proposal,New_Product
R12TAN8692,12Th Coaching Classes,Educational Classes,Done,Gmvt,Gmvt 
R12TAN8692,12Th Coaching Classes,Educational Classes,Unverified,GMVT,Gmvt 
R2AP8693,2 Star Hotel,Hotel,Done,GMVT+Lead+FB,Gmvt + Facebook lead
R2AP8693,2 Star Hotel,Hotel,Done,GMVT+Lead+FB,Gmvt + Facebook lead
R2AN8693,2 Star Hotel,Hotel,Done,GMVT ADW FB,Gmvt + Facebook ads
R2AN8693,2 Star Hotel,Hotel,Done,GMVT ADW FB,Gmvt + Facebook ads
R2AN8693,2 Star Hotel,Hotel,Done,GMVT ADW FB,Gmvt + Facebook ads
R2AN8693,2 Star Hotel,Hotel,Done,GMVT ADW FB,Gmvt + Facebook ads
R2AN8693,2 Star Hotel,Hotel,Done,Gmvt Adw Fb,Gmvt + Facebook ads
FHAN4058,2Nd Hand Car Dealer,Car Dealer,Done,GMVT  WEBSITE,Gmvt + Website
J3AN5227,3 Cloth Store,Cloth Store,No Data,Gmvt,Gmvt 
J3AN5227,3 Cloth Store,Cloth Store,No Data,Gmvt,Gmvt 
ESBD3929,3-Star Hotel,Hotel,Unverified,Gmvt,Gmvt 
ESBD3929,3-Star Hotel,Hotel,Unverified,Gmvt,Gmvt 
HSAN4979,3-Star Hotel,Hotel,Done,Gmvt,Gmvt 
HSAN4979,3-Star Hotel,Hotel,Done,Whatsapp Massage,Bulk Whatsapp
HSAN4979,3-Star Hotel,Hotel,Done,Gmvt,Gmvt 
HSAN4979,3-Star Hotel,Hotel,Done,Whatsapp Massage,Bulk Whatsapp
DANR2234,Aayurvedic Clinic,Clinic,Done,GMVT,Gmvt 
CAAP1670,Abacus,Co-Curricular Classes,No Data,Gmvt + Social Media,Gmvt + Social Media
SAAP9382,Abacus,Co-Curricular Classes,No Data,Gmvt + Social Media,Gmvt + Social Media
SACV9452,Abacus Academy,Co-Curricular Classes,No Data,Gmvt+ Social Media,Gmvt+Social Media
SACV9452,Abacus Academy,Co-Curricular Classes,No Data,Gmvt+ Social Media,Gmvt+Social Media
SABP9433,Abacus Academy,Co-Curricular Classes,Done,Gmvt  Fb,Gmvt + Facebook lead
BAAJ1224,Abacus Center,Co-Curricular Classes,No Data,Social-Media Management,Social Media Management
BAAJ1224,Abacus Center,Co-Curricular Classes,No Data,Gmvt + Social Media,Gmvt + Social Media
UAND12147,Abacus Center,Co-Curricular Classes,Done,Social-Media Management,Social Media Management
AAAJ6,Abacus Classes,Co-Curricular Classes,No Data,Social-Media Management,Social Media Management
AAAJ6,Abacus Classes,Co-Curricular Classes,No Data,Social-Media Management,Social Media Management
AAAJ6,Abacus Classes,Co-Curricular Classes,No Data,Social-Media Management,Social Media Management
AAAJ6,Abacus Classes,Co-Curricular Classes,No Data,Social-Media Management,Social Media Management
LABP6082,Abacus Classes,Co-Curricular Classes,No Data,No Data,No Data
LABP6082,Abacus Classes,Co-Curricular Classes,No Data,No Data,No Data
MABP6342,Abacus Classes,Co-Curricular Classes,Done,Social-Media Management,Social Media Management
MAGA6348,Abacus Classes,Co-Curricular Classes,Done,GMVT,Gmvt 
NACV7253,Abacus Classes,Co-Curricular Classes,Done,Gmvt+Fb,Gmvt + Facebook Lead
RAAP8697,Abacus Classes,Co-Curricular Classes,Unverified,GMVT+FB,Gmvt + Facebook Lead
RAAK8697,Abacus Classes,Co-Curricular Classes,Done,Gmvt + Social Media,Gmvt + Social Media
SAAP9378,Abacus Classes,Co-Curricular Classes,No Data,Gmvt + Social Media,Gmvt + Social Media
VAAP12298,Abacus Classes,Co-Curricular Classes,No Data,Gmvt + Social Media,Gmvt + Social Media
VABA12304,Abacus Classes,Co-Curricular Classes,No Data,No Data,No Data
RAAS8701,"Abacus Manufacturer, Abacus Classes",Co-Curricular Classes,Done,GMVT,Gmvt 
AABP60,Ac Dealer,Ac Shop & Services,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
DAAS2191,Ac Dealer,Ac Shop & Services,Done,GMVT,Gmvt 
AABP56,Ac Dealer And Repairer,Ac Shop & Services,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
AABP56,Ac Dealer And Repairer,Ac Shop & Services,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
CABP1684,Ac Dealer And Repairer,Ac Shop & Services,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
CABP1685,Ac Dealer And Repairer,Ac Shop & Services,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
CAAN1669,Ac Dealers,Ac Shop & Services,Done,GMVT+VPS,Gmvt + Vps 
MABA6323,Ac Dealers Electronics Shop,Ac Shop & Services,Not Done,Gmvt,Gmvt 
MABA6323,Ac Dealers Electronics Shop,Ac Shop & Services,Done,Gmvt,Gmvt 
AABD38,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
AABD38,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
AABD39,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
AABD39,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
AABD39,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
AABD39,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
CABD1681,Ac Repair,Ac Shop & Services,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
CABD1681,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
OABD7782,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
SABP9430,Ac Repair,Ac Shop & Services,Not Done,Gmvt,Gmvt 
SABD9413,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
SABD9413,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
SABD9418,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
SABD9418,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
VABD12314,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
VABD12314,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
VABD12314,Ac Repair,Ac Shop & Services,No Data,Gmvt,Gmvt 
YABD12802,Ac Repair,Ac Shop & Services,No Data,Gmvt+Fb,Gmvt + Facebook Lead
YABD12802,Ac Repair,Ac Shop & Services,No Data,Gmvt+Fb,Gmvt + Facebook Lead
BABA1226,Ac repairing Center,Ac Shop & Services,No Data,No Data,No Data
CABI1683,Ac Repairing Servies,Ac Shop & Services,Unverified,Gmvt,Gmvt 
DABI2204,Ac Reparing Servies,Ac Shop & Services,Done,Gmvt+Fb,Gmvt + Facebook Lead
DABI2204,Ac Reparing Servies,Ac Shop & Services,Done,Gmvt+Fb,Gmvt + Facebook Lead
JABP5236,Ac Reparing Servises,Ac Shop & Services,No Data,No Data,No Data
JABD5236,Ac Reparing Servises,Ac Shop & Services,No Data,No Data,No Data
CABI1684,Ac Sale N Servies,Ac Shop & Services,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
HABD4654,Ac Sales & Services,Ac Shop & Services,No Data,Gmvt + Social Media,Gmvt + Social Media
MABG6334,Ac Service Repair,Ac Shop & Services,Done,Gmvt,Gmvt 
MABG6334,Ac Service Repair,Ac Shop & Services,Done,Gmvt,Gmvt 
MABG6334,Ac Service Repair,Ac Shop & Services,Done,Gmvt,Gmvt 
RABA8703,Acadamy,Classes,No Data,No Data,No Data
RABA8703,Acadamy,Classes,No Data,No Data,No Data
AAND85,Academy,Classes,Done,Social-Media Management,Social Media Management
AAND85,Academy,Classes,Done,Social-Media Management,Social Media Management
AAAS18,Academy,Classes,Done,GMVT+ ADVRT+FB,Gmvt + Google ads + Facebook lead
AAAS20,Academy,Classes,Done,Gmvt + Social Media,Gmvt + Social Media
AAAS20,Academy,Classes,Done,Gmvt + Social Media,Gmvt + Social Media
BACV1239,Academy,Classes,No Data,Gmvt+ Social Media,Gmvt+Social Media
CAWV1697,Academy,Classes,Done,Gmvt + Social Media,Gmvt + Social Media
CACR1686,Academy,Classes,Done,GMVT + Social Media,Gmvt + Social Media
CACR1687,Academy,Classes,Done,GMVT + Social Media,Gmvt + Social Media
DACR2207,Academy,Classes,Done,GMVT + Social Media,Gmvt + Social Media
EABD3783,Academy,Classes,No Data,Gmvt,Gmvt 
GACV4167,Academy,Classes,No Data,Gmvt+ Social Media,Gmvt+Social Media
GAND4171,Academy,Classes,Done,GMVT+FB Leads,Gmvt + Facebook lead
GAND4171,Academy,Classes,Unverified,Social-Media Management,Social Media Management
GAND4171,Academy,Classes,Unverified,Social-Media Management,Social Media Management
GACR4164,Academy,Classes,Done,gmvt+social media,Gmvt + Social Media
GAAP4157,Academy,Classes,No Data,Gmvt + Social Media,Gmvt + Social Media
LENS6154,Academy,Classes,Done,Fb page managemnet 7000/- & Dynamic web,Facebook + Website
MABA6325,Academy,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
MAND6351,Academy,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
MABD6330,Academy,Classes,Done,GMVT,Gmvt 
MAAS6320,Academy,Classes,Unverified,Gmvt,Gmvt 
OACV7787,Academy,Classes,Done,Gmvt+Fb,Gmvt + Facebook Lead
OACV7787,Academy,Classes,Done,Gmvt+Fb,Gmvt + Facebook Lead
PACR7993,Academy,Classes,Done,GMVT + Social Media,Gmvt + Social Media
PACR7994,Academy,Classes,Done,GMVT + Social Media,Gmvt + Social Media
RANG8716,Academy,Classes,Done,Gmvt,Gmvt 
SACR9437,Academy,Classes,Done,GMVT + Social Media,Gmvt + Social Media
SANR9501,Academy,Classes,Not Done,Vps,Vps
SABD9410,Academy,Classes,No Data,Gmvt+Fb,Gmvt + Facebook Lead
SABD9410,Academy,Classes,No Data,Gmvt+Fb,Gmvt + Facebook Lead
SACV9454,Academy,Classes,Done,Gmvt+Fb,Gmvt + Facebook Lead
SACV9454,Academy,Classes,Done,Gmvt+Fb,Gmvt + Facebook Lead
SACV9454,Academy,Classes,Done,Facebook Ads,Facebook ads
SABJ9422,Academy,Classes,No Data,No Data,No Data
SANM9495,Academy,Classes,Unverified,Gmvt+ Social Media,Gmvt+Social Media
TABA11655,Academy,Classes,No Data,No Data,No Data
TAAS11649,Academy,Classes,Unverified,Gmvt + Social Media,Gmvt + Social Media
VABP12316,Academy,Classes,Unverified,Gmvt,Gmvt 
VABA12306,Academy,Classes,No Data,No Data,No Data
CACV1688,Academy & School,Classes,Unverified,Gmvt,Gmvt 
CACV1688,Academy & School,Classes,No Data,Gmvt+ Social Media,Gmvt+Social Media
IABP5035,Academy For Banking,Classes,No Data,Gmvt,Gmvt 
AMBD794,Academy For UpscMpscBanking Ssc Etc,Classes,No Data,Gmvt+Fb,Gmvt + Facebook Lead
AMBD794,Academy For UpscMpscBanking Ssc Etc,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
BABD1230,Academy For UpscMpscBanking Ssc Etc,Classes,No Data,Gmvt+Fb,Gmvt + Facebook Lead
BABD1230,Academy For UpscMpscBanking Ssc Etc,Classes,No Data,Gmvt+Fb,Gmvt + Facebook Lead
CABD1680,Academy For UpscMpscBanking Ssc Etc,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
CABD1680,Academy For UpscMpscBanking Ssc Etc,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
DCBD2322,Academy For UpscMpscBanking Ssc Etc,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
DCBD2322,Academy For UpscMpscBanking Ssc Etc,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
LABP6083,Academy For UpscMpscBanking Ssc Etc,Classes,Done,Gmvt+ Social Media,Gmvt+Social Media
MABD6329,Academy For UpscMpscBanking Ssc Etc,Classes,No Data,No Data,No Data
OABD7781,Academy For UpscMpscBanking Ssc Etc,Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
KABA5548,Accessories Store,Accessories Store,No Data,Gmvt,Gmvt 
PABD7989,Account Tutorials,Classes,No Data,Gmvt+Fb,Gmvt + Facebook Lead
SACV9464,Accupresssure And Hijama Therapy Centre,Accupressure Center,No Data,Gmvt+ Social Media,Gmvt+Social Media
SACV9464,Accupresssure And Hijama Therapy Centre,Accupressure Center,No Data,Gmvt+ Social Media,Gmvt+Social Media
SAAS9390,Accupressure,Accupressure Center,Done,GMVT+Advt+FB,Gmvt + Google lead + Facebook lead
GAAS4158,Accupressure Clinic,Accupressure Center,Done,GMVT+Advt+FB,Gmvt + Google lead + Facebook lead
GAAS4159,Accupressure Clinic,Accupressure Center,Done,Gmvt + Advt + Fb,Gmvt + Google ads + Facebook
YAAS12797,Accupressure Clinic,Accupressure Center,Done,GMVT+FB +Advert,Gmvt + Facebook lead + Google ads
DAAS2181,Accupunture,Accupressure Center,Done,Gmvt,Gmvt 
DAAJ2181,Accupunture,Accupressure Center,Done,Gmvt,Gmvt 
VAND12324,Accupunture Clinic,Accupressure Center,Not Done,Gmvt,Gmvt 
AABV67,Achitect,Achitect,Done,GMVT,Gmvt 
GANR4172,AcrycLedSign Board,Ledsign Board,Not Done,GMVT,Gmvt 
GANR4172,AcrycLedSign Board,Ledsign Board,Not Done,GMVT,Gmvt 
YAND12805,Acrylic Wallpaper Dealer,Wallpaper Dealer,Not Done,Vps,Vps
AABD33,Acting Acedemy,Co-Curricular Classes,No Data,Gmvt,Gmvt 
MABP6340,Acting Classes,Co-Curricular Classes,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
SAAP9370,Acupressure Clinic,Clinic,No Data,Gmvt + Social Media,Gmvt + Social Media
SAAP9370,Acupressure Clinic,Clinic,No Data,Gmvt + Social Media,Gmvt + Social Media
SAAP9371,Acupressure Clinic,Clinic,No Data,Gmvt + Social Media,Gmvt + Social Media
SACV9465,Acupressure Health Center,Accupressure Center,No Data,Gmvt+ Social Media,Gmvt+Social Media
DAAP2189,Acupuncture,Accupressure Center,No Data,Gmvt + Social Media,Gmvt + Social Media
MABD6332,Addiction,Rehabilation Centre,Done,Gmvt + Social Media,Gmvt + Social Media
AABP61,Addiction Treatment /Rehabilitation Services,Rehabilation Centre,Done,Gmvt,Gmvt 
BANG1242,Addiction Treatment /Rehabilitation Services,Rehabilation Centre,Done,Gmvt,Gmvt 
DAND2225,Advance Maxillofacial Centre,Clinic,Unverified,No Data,No Data
DACV2216,Advanced,Clinic,Not Done,Gmvt+Fb,Gmvt + Facebook Lead
DACV2216,Advanced,Clinic,Not Done,Gmvt+Fb,Gmvt + Facebook Lead
DACV2216,Advanced,Clinic,Done,Gmvt+Fb,Gmvt + Facebook Lead
JANG5251,Adventure Camp,Clinic,Done,Gmvt,Gmvt 
PANR8003,Adventure Camp,Clinic,Unverified,GMVT + Social Media,Gmvt + Social Media
RACV8710,Advertising Agency,Agency,No Data,Gmvt+ Social Media,Gmvt+Social Media
SANG9494,Advertising Agency,Agency,Done,Social Media Management(Fb+Insta+Linkdi,Social Media Management
SANG9494,Advertising Agency,Agency,Done,GMVT Social Media Management(Fb+Insta+L,Gmvt + Social Media Management
AAAS21,Advocate,Lawyer,Done,GMVT+Advt+FB,Gmvt + Google lead + Facebook lead
AAAS21,Advocate,Lawyer,Done,GMVT+Advt+FB,Gmvt + Google lead + Facebook lead
AAAS21,Advocate,Lawyer,Done,GMVT+Advt+FB,Gmvt + Google lead + Facebook lead
AABP53,Advocate,Lawyer,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
AABP53,Advocate,Lawyer,No Data,Gmvt,Gmvt 
AABP53,Advocate,Lawyer,Unverified,GmvtFb,Gmvt + Facebook lead
AABP53,Advocate,Lawyer,Unverified,GmvtFb,Gmvt + Facebook lead
AAAV7,Advocate,Lawyer,Done,Adwords Landing Page,Google ads
AAAN7,Advocate,Lawyer,Done,Adwords Landing Page,Google ads
AAAS22,Advocate,Lawyer,Done,GMVT+Advt+FB,Gmvt + Google lead + Facebook lead
AABP54,Advocate,Lawyer,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
AANR104,Advocate,Lawyer,Unverified,vps,Vps
AAAG1,Advocate,Lawyer,Done,Gmvt,Gmvt 
AAAG1,Advocate,Lawyer,Done,Gmvt,Gmvt 
AAAV25,Advocate,Lawyer,Done,Gmvt,Gmvt 
AAAV25,Advocate,Lawyer,Done,Gmvt,Gmvt 
AAAV25,Advocate,Lawyer,Done,Gmvt,Gmvt 
AABD36,Advocate,Lawyer,No Data,Gmvt+Fb,Gmvt + Facebook Lead
AABD36,Advocate,Lawyer,No Data,Gmvt+Fb,Gmvt + Facebook Lead
AABD36,Advocate,Lawyer,No Data,Gmvt+Fb,Gmvt + Facebook Lead
AABD36,Advocate,Lawyer,No Data,Gmvt,Gmvt 
AABD36,Advocate,Lawyer,No Data,Gmvt,Gmvt 
AABD36,Advocate,Lawyer,No Data,Gmvt,Gmvt 
AABD36,Advocate,Lawyer,No Data,Gmvt+Fb,Gmvt + Facebook Lead
AABD36,Advocate,Lawyer,No Data,Gmvt+Fb,Gmvt + Facebook Lead
ADNR375,Advocate,Lawyer,Not Done,Vps,Vps
ADNR375,Advocate,Lawyer,Not Done,Vps,Vps
AANM101,Advocate,Lawyer,Done,Map Navigation And Google Bloggers,Gmvt
AANM101,Advocate,Lawyer,Done,Map Navigation And Google Bloggers,Gmvt
AANA82,Advocate,Lawyer,Done,GMVT,Gmvt 
AAUP108,Advocate,Lawyer,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
BABD1227,Advocate,Lawyer,No Data,Gmvt,Gmvt 
BABD1227,Advocate,Lawyer,No Data,Gmvt,Gmvt 
BABD1231,Advocate,Lawyer,No Data,Gmvt,Gmvt 
CABD1682,Advocate,Lawyer,No Data,Gmvt,Gmvt 
DABD2197,Advocate,Lawyer,No Data,Gmvt,Gmvt 
FABP3951,Advocate,Lawyer,Unverified,Gmvt,Gmvt 
FABP3951,Advocate,Lawyer,Unverified,GmvtFb,Gmvt + Facebook lead
GABD4161,Advocate,Lawyer,No Data,Gmvt,Gmvt 
JABD5237,Advocate,Lawyer,Not Done,Social-Media Management,Social Media Management
JABD5237,Advocate,Lawyer,Unverified,Vps,Vps
LABD6076,Advocate,Lawyer,Done,Gmvt,Gmvt 
LABD6076,Advocate,Lawyer,Done,Gmvt,Gmvt 
LAND6084,Advocate,Lawyer,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
LAND6084,Advocate,Lawyer,No Data,Gmvt+ Social Media,Gmvt+Social Media
AANM101,Advocate,Lawyer,Done,Map Navigation And Google Bloggers,Gmvt
MABD6333,Advocate,Lawyer,No Data,Gmvt + Social Media,Gmvt + Social Media
NABD7246,Advocate,Lawyer,No Data,Gmvt,Gmvt 
NABD7246,Advocate,Lawyer,No Data,Gmvt,Gmvt 
OABP7785,Advocate,Lawyer,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
RABP8706,Advocate,Lawyer,Unverified,Gmvt+Fb,Gmvt + Facebook Lead
SABP9431,Advocate,Lawyer,Unverified,Gmvt,Gmvt 
SANR9505,Advocate,Lawyer,Unverified,vps,Vps
TAND11668,Advocate,Lawyer,Done,Social-Media Management,Social Media Management
BMND1524,Agarabatti Manufacturer,Manufacturer,Done,Social-Media Management,Social Media Management
BMND1524,Agarabatti Manufacturer,Manufacturer,Done,Social-Media Management,Social Media Management
BMND1524,Agarabatti Manufacturer,Manufacturer,Done,VPS,Vps
SANG9493,Agarabatti Manufacturer,Manufacturer,Not Done,Social-Media Management,Social Media Management
SANG9493,Agarbatti Manufacturer,Manufacturer,Done,Gmvt,Gmvt 
IACR5036,Agencies,Agency,Done,Gmvt,Gmvt 
KAAS5547,Agencies,Agency,Unverified,GMVT+ FB,Gmvt + Facebook lead
PANP8001,Agencies,Agency,Unverified,VPS,Vps
VAAP12302,Agencies,Agency,No Data,Gmvt + Social Media,Gmvt + Social Media
HANR4663,Agency,Agency,Done,Gmvt + Social Media,Gmvt + Social Media
KANR5571,Agency,Agency,Done,Gmvt,Gmvt 
LABD6078,Agency,Agency,Done,Gmvt,Gmvt 
SANR9504,Agency,Agency,No Data,360 live,Gmvt
YANR12806,Agency,Agency,Not Done,Vps Fb,Vps + Facebook
