Business_id,Login_Date,Sales_Amount,Advanced_Amount,GST_Amount,Payment_mode
DMBK3349,07-07-2021,11300,11300,2034,Cash
TEBP11844,04-01-2023,8000,8000,1440,Online
SMBD10193,20-11-2019,22000,22000,3960,Online
SMBD10193,20-11-2019,22000,22000,3960,Online
NNND7609,21-08-2020,15000,7000,2700,Cheque
MANM6358,19-01-2023,9440,8000,1699.2,Online
SENV10260,13-03-2020,5900,5000,1062,Cheque
SMNV10921,13-12-2019,14160,5932,2548.8,No Data
SMNV10921,28-12-2019,14160,6068,2548.8,No Data
SMNV10921,13-12-2019,14160,5932,2548.8,Cash/ Cheque
SMNV10921,28-12-2019,14160,6068,2548.8,Cash/ Cheque
SMNV10921,13-12-2019,14160,5932,2548.8,Cash
SMNV10921,28-12-2019,14160,6068,2548.8,Cash
ADAV116,25-11-2019,5000,5000,900,Cheque 
ADAV116,25-11-2019,5000,5000,900,Cheque
ABAP116,25-11-2019,5000,5000,900,Cheque
AMND810,29-10-2022,15000,15000,2700,Cash
AMND810,29-11-2022,0,0,0,No Data
AEBP409,26-12-2019,7080,6000,1274.4,Cheque
AEBP409,26-12-2019,7080,6000,1274.4,Cheque
AEBP409,26-12-2019,7080,6000,1274.4,Cheque
APYM989,19-08-2023,11800,11800,2124,Cash
ATbD1140,22-08-2023,15000,15000,2700,Cheque
ABNS153,03-03-2020,6500,6500,1170,Cheque
AENR459,29-09-2019,7080,6000,1274.4,Cheque
AHBP630,30-06-2023,4000,4000,720,No Data
ACNP283,28-11-2019,8000,8000,1440,Cheque 
ACND283,28-11-2019,8000,8000,1440,Cheque
ACND283,28-11-2019,8000,8000,1440,Cheque
ARNA1013,24-12-2019,17700,10000,3186,Cheque
ARNR1013,24-12-2019,17700,10000,3186,Cheque
AEAJ379,22-08-2019,14160,12000,2548.8,Cheque
AHCV652,10-08-2023,15000,15000,2700,Cheque
ARCV1007,20-04-2019,10000,10000,1800,Cheque
ACIS277,11-01-2020,12000,6000,2160,Cheque
AOIA869,11-01-2020,12000,6000,2160,Cheque
AHNR689,24-07-2019,5000,5000,900,Cash
AENA438,25-07-2019,7080,6000,1274.4,Online
AENA439,27-01-2023,0,0,0,No Data
AANG95,07-12-2019,8000,8000,1440,Cheque
AANG95,07-12-2019,8000,8000,1440,Cheque
AANG95,07-12-2019,8000,8000,1440,Cheque
ACNA278,15-12-2022,12000,6000,2160,Cash
AHNR690,26-11-2019,11800,11800,2124,Cheque
AHNR690,26-11-2019,11800,11800,2124,Cheque
AWNS1219,17-12-2019,31860,27000,5734.8,Cheque
AWNS1219,17-12-2019,31860,27000,5734.8,Cheque
AWNS1219,17-12-2019,31860,27000,5734.8,Cheque
ALBP761,04-02-2023,14160,12000,2548.8,Cheque
AWNS870,17-12-2019,31860,27000,5734.8,Cheque
AONA870,17-12-2019,31860,27000,5734.8,Cheque
AONA870,17-12-2019,31860,27000,5734.8,Cheque
APCR359,05-12-2022,8000,8000,1440,cheque
ACNM297,20-12-2019,29500,29500,5310,Cheque
ASNG297,20-12-2019,29500,29500,5310,Cheque
ASNG297,20-12-2019,29500,29500,5310,Cheque
ACBM224,14-07-2021,11800,11800,2124,Cash
APNJ691,30-03-2023,10000,10000,1800,Cheque
AHNM310,10-01-2020,9000,9000,1620,Cash
ACNR310,10-01-2020,9000,9000,1620,Cash
APNV823,17-12-2019,11800,11800,2124,Cheque
AMNR823,17-12-2019,11800,11800,2124,Cheque
AMNR823,17-12-2019,11800,11800,2124,Cheque
AANR102,19-08-2019,9000,7627,1620,Cheque
AECV141,21-04-2023,14160,12000,2548.8,Cheque
ACBS239,14-07-2023,12000,12000,2160,Cheque
AAAV7,06-12-2019,31000,31000,5580,Cheque
ALAN7,06-12-2019,31000,31000,5580,Cheque
AAAN7,06-12-2019,31000,31000,5580,Cheque
