Business_id,Business_Name,Contact_person,Local_Address,City,Pincode,State,GST_Number
NNND7609,114 Nutriyant,Sumit Mallick,6B First Floor Behind Hdfc Bank Old Subhedar Lay-Out Ayodhay,Nagpur,440034,Maharashtra,No Data
FBAA3954,18 Foreverrrr,Mr. Rahul Mundada,Opp. To Kothari Hospital Near Hotel Vits Vedant Nagar Mid,Aurangabad,431005,Maharashtra,No Data
KRCV5978,2 Kitchens,Awez Sheikh Allam,Cbc Mall 1St Floor Nagpur Rd,Chandrapur,442401,Maharashtra,No Data
SDND10093,2 Square Deal Infrastructure,Hitesh Kumar,52 Balraj Marg Beside Neuron Opp Ciiho Gandhi Bagh Dhantoli,Nagpur,462001,Maharashtra,No Data
FHAS4061,24 Fit Lifeline Nutrition Club,Vickey Choudhary,C/O Sanjay Agrawal Khaparde Bagicha Near Railway Station R,Amravati,444601,Maharashtra,No Data
CCBD1769,3 C Bhopal,M P Singh,Shop No.47 Obedulla Ganj Rd Jinsi Chauraha  Centre Point Jah,Bhopal,462016,Madhya Pradesh,No Data
SCNA9899,3 Star Cleaning Services,Nilesh,212 Nandanwan Tiranga Squre Shiv Nagar Azamshah Layout,Nagpur,431005,Maharashtra,No Data
SPNR11164,3 Star Property Dealer,Abdul Rahman,Hasanbagh Police Chowki,Nagpur,440009,Maharashtra,No Data
PDNR8186,32 Pearls Dental Clinic,Dr. Pratik,No Data,Nagpur,440024,Maharashtra,No Data
DSAJ3655,360 Degree Spa,Prashant,Ground Floor Navander Nursing Home Apex Hospital Road Jalna,Aurangabad,431005,Maharashtra,No Data
CCAP1736,365 Cleaning Mentor Inc,Nilesh Sir,No Data,Aurangabad,431001,Maharashtra,No Data
SSNG11450,365 Solar Solution,Narendra Gurudasani,Plot No-96 Nari Industrial Area Teka Naka  Behind Sayana Pub,Nagpur,431005,Maharashtra,No Data
FZBP4147,3F Fitness For Future,Sushmita Thakur,Shop No. 2 Kolar Road Bawadia Kalan Near Bawadia Kalan Squar,Bhopal,462046,Madhya Pradesh,No Data
MANM6358,3M Car Care,Sunil Dhariwal,"Limbana Enclave, Near Saraf Chambers, Mount Rd",Nagpur,440001,Maharashtra,No Data
MCAV6448,3M Car Care Aurangabad,Rahul Galhate,Kalda Corner 3M Car Care  C/O A.B.Auto Wheels Llp 1/5 New,Aurangabad,431005,Maharashtra,No Data
SENV10260,3Sd Enterprises,Saurabh Gadge,"Gangabai Ghat Rd, Near Citanvispura Police Chowki",Nagpur,440032,Maharashtra,27BQXPG7527SIZM
KFAJ5741,4K'S Fast Food,Shyam,V9G7+Mc3 Unnamed Road Cidco Cannought M G M,Aurangabad,431003,Maharashtra,No Data
RGNR9000,4R Fitness Power House,Rishabh Dubey,Plot No 9 Parmar Building Near Chitnavispura Bank Ayodhya,Nagpur,440024,Maharashtra,No Data
SSAP11297,5 Star Hair Salon,Warish Sheikh,Near By Sbi Bank Kathora Naka Wargaon Road Harshraj Bus S,Amravati,444603,Maharashtra,No Data
CRNA2098,64 Civil Lines,"Manager- Sakshim ,Owner- Shashikant",Samaj Bhushan Society Khamla Rd Manish Nagar Somalwada,Nagpur,431005,Maharashtra,No Data
HGCV4766,7 Hills Fitness Gym,Rahil Sheikh,Mul Rd Near Budh Vihar Indira Nagar Shastri Nagar Panch,Chandrapur,442401,Maharashtra,No Data
SSAA11278,7 Sense Spa And Beauty,Mr. Dilip,Apple Hotels Pvt.Ltd Hudco Corner 7 Next To Dmart K Sec,Aurangabad,431003,Maharashtra,No Data
SUBJ11599,7 Star Balloons & Event Organizad,Swapnil Kosare,No Data,Bhandara,441904,Maharashtra,No Data
SEBA10162,7 Star Event Managment,Swapnil Kosare,No Data,Bhandara,441904,Maharashtra,No Data
SDNR10115,7Star Door And Window,Puspendra Singh,New Shanti Nagar Rd Dabha Vayusena Nagar,Nagpur,440034,Maharashtra,No Data
SMNV10921,7Star-Upvc Windoors Manufacturer,Pushpender Singh,Plot No 24 New Shanti Nagar Society Dhaba,Nagpur,440023,Maharashtra,No Data
TRAN12007,7Th Heaven Akola,Akash Motwani,Oppo Shaukeens Hotel Jawahar Road Ranpise Nagar,Akola,444001,Maharashtra,No Data
TCNA11774,7Th Heaven Cake Shop Gokulpeth (Rajvi Enterprises),Smita Talewar,Gandhi Gate Pataleshwar Rd Tilak Rd Mangalwari. Mahal,Nagpur,431005,Maharashtra,No Data
SSBP11379,9Stone Marble Granite,Pankaj Tiwari,321 B Phase 1 Rohit Nagar Bawadiya Kalan Gulmohar Colony,Bhopal,462003,Madhya Pradesh,No Data
APND958,A Blossom Kids Montessori,Hina Munyer,26B Jai Durga Society 3 Shyam Nagar Manish Nagar Somalwada.,Nagpur,462016,Maharashtra,No Data
ASBD1051,A Blow Out Salon,Unknown,Shop No. 21-22 Shriram Plaza Ayodhya Bypass Rd Opposite Tana,Bhopal,431001,Madhya Pradesh,No Data
ASBD1052,A Blow Out Salon | Beauty Parlour In Bhopal | Hair Salon,Mr. Gopal Shrivastva,Ff-49 Minal Shopping Mall Jk Rd Govindpura,Bhopal,431005,Madhya Pradesh,No Data
ACAP166,A Coaching Classes,Atmash Qureshi,Amankhan Plot Ranpise Nagar,Akola,444001,Maharashtra,No Data
ASBD1053,A Fashion Family Saloon & Spa,Raj Mehra,Office No E6 /64 Rishi Residency Sai Board 11 No Stop Arera,Bhopal,456001,Madhya Pradesh,No Data
AKAP744,A G Kitchen Interior,Akash Gaikwad,201 Nimkar Apartment Prashant Nagar Rukhmini Nagar Misar H,Amravati,444606,Maharashtra,No Data
APAP881,A G Professional Systems Pvt Ltd,Vinod Jadhav,Plot No. 93 Vinit Villa Appartment Vidya Nagar 7 Hill Road,Aurangabad,431105,Maharashtra,No Data
ATCV1160,A J Traders,Aniket Jain,Sanjay Gandhi Market,Chandrapur,462003,Maharashtra,No Data
ATBP1148,A K & Ayush Water Sales,Mahesh,Shop No 1 Kacchi Market Infront Of Mehta Market Old Shubhas,Bhopal,462023,Madhya Pradesh,No Data
AHCV650,A K Creations,Amit Kotkar,Call For Address Near Azad Gardan,Chandrapur,442401,Maharashtra,No Data
ATCV1161,A K Marble,Unknown,Girnar Chouk Chandrapur,Chandrapur,462016,Maharashtra,No Data
ACAS182,A K Physics,Sachin Kawade,Sai Business Center  3Rd Floor Usmanpura,Aurangabad,431005,Maharashtra,No Data
ADAV116,A Kamala Builder And Developer,Mr. Amrish Parekh,"1St Floor,Opp.Home Guard Office,Khandelwal Bldg",Akola,444001,Maharashtra,No Data
ABAP116,A Kamala Builder And Developer,Mr. Amrish Parekh,"1St Floor,Opp.Home Guard Office,Khandelwal Bldg, Rajputpura,",Akola,444001,Maharashtra,No Data
AMND810,A M Communication Mobile,Ajay Bhagwatkar,"Shop No 4, Imperial Plaza, Pakodewali Galli, Sitabuldi, Near",Nagpur,440012,Maharashtra,No Data
AMNR821,A M Systems,ANo Datat Jain,Plot No. 72 Shree Nagar Near Kdk Engineering CollegeNo Datad,Nagpur,440009,Maharashtra,No Data
ASBP1067,A Makeover Lounge Spa & Salon,Swapnil Sahu,Plot 28 Sector A Besides Dominos Pizza Indrapuri  46223,Bhopal,461001,Madhya Pradesh,No Data
ATCV1162,A One Bike Parts,Kumar Swaminatham,Near Kali Mandir Near Icici Bank Atm Opp Vir Nagar Bapupe,Chandrapur,442401,Maharashtra,No Data
ASBP1068,A P Nursing Coaching Classes Bhopal,Rampal Sir,58 Ashok Vihar Near Ashoka Garden Sabzi Mandi Infront Of Ved,Bhopal,462023,Madhya Pradesh,No Data
AEBP409,A R Enterprises,Ajay Rajput,Zoneii Maharana Pratap Nagar,Bhopal,462011,Madhya Pradesh,No Data
ARBD1001,A R Imaging Ct Scan Center,Dr. Sujeet Pal,Plot No.8 Fiza Colony Berasia Road Karond Near Karond Mandi,Bhopal,431005,Madhya Pradesh,No Data
AAND84,A R Motors,Imran,F/12 1St Floor Anjuman Complex Opp Governors Kothi Sadar,Nagpur,462001,Maharashtra,No Data
APYM989,A R Photography And Film,Akshay Raut,Near Vidya Vihar Jamb Road,Yavatmal,445001,Maharashtra,No Data
AICR718,A S Marketing,Amitabh Shivhare,Ground Floor Venktaesh Mall Nagpur Road Chhindwara HoVank,Chhindwara,480001,Madhya Pradesh,No Data
AGNR560,A S P I R E The Fitness Hub,Suniket Bingewar,190Ld Subhedar LayoutSharda Squre Near Ayodhya Nagar Opp,Nagpur,440024,Maharashtra,No Data
ATAP1121,A Shendra Tyres,Krishna Pawar,Cambridge Chowk Opp. Cambridge School Jalna Road Near Zalt,Aurangabad,431007,Maharashtra,No Data
ATNM1178,A Star Packers And Movers,Rakesh Choudhary,23 Amravati Rd Duttawadi,Nagpur,440023,Maharashtra,No Data
AHAJ568,A To Z Home Decor (Interior Designing) Aurangabad,Jamal Khan,Cidco N7 Plot No.15 Baliram Patil Road To Ambedkar Chowk Cid,Aurangabad,440034,Maharashtra,No Data
ASNR1109,A To Z Ladies Shopee And Sakhi Beauty Parlour,Shivangi Mam,Khante Complex Near Bharat Traders Butibori,Nagpur,441108,Maharashtra,No Data
ATAP1122,A To Z Toys,Ashfaq,Near Sonia Gandhi Urdu High School Chillam Chowni Universit,Amravati,444602,Maharashtra,No Data
ATbD1140,A Touch Of Class,Ankit Sen,1St Floor,bhopal,462003,Madhya Pradesh,No Data
ALAN748,A. R. Associates,Rana Zunzunwala,Ranpise Nagar,Akola,444001,Maharashtra,No Data
AWBA1203,A. S. Engineers,Ashutosh Mishra ( Bro) / Ajay Sharma,No Data,Bhandara,441904,Maharashtra,No Data
ACNR304,A.B Jichkar's Ideal Academy Of Science,Ramprakash,Ring Rd Pragati Colony Chatrapati Nagar,Nagpur,440015,Maharashtra,No Data
APNR971,A.D.N. Computerised Pathology Laboratory,Bhagat,Akansha Arcade A/1 Kdk College Rd Near Mohini Complex Ja,Nagpur,440009,Maharashtra,No Data
APCV936,A.D.T. Enterprises,Anil Tapase,Gandhi Chowk,Chandrapur,442401,Maharashtra,No Data
ABNS153,A.G.Borwell,Amit Garse,40/A Kashi Nagar,Nagpur,440027,Maharashtra,No Data
ACBP226,A.K. Physics Classes,Arvind Sen,Lal Pared Ground Jahagirabad,Bhopal,462001,Madhya Pradesh,No Data
ASBP1069,A.K. Traders,Moh. Azhar Siddiqui,Call For Current Address,Bhopal,462011,Madhya Pradesh,No Data
AOCV865,A.K.Opticals,Wasim Khan,Shop No 5 Jetpura Ward Chota Bajar Near Sarkari Dawkhana,Chandrapur,442402,Maharashtra,No Data
ABNA147,A.L Salon & Slimming Centre,Vinod Ingulkar,Shop No. 1 2 Bhagyashree Bhawan Rambagh Road Medical Square,Nagpur,431005,Maharashtra,No Data
AMCV804,A.M. Star Services,Amol More,X7Fx+Hp5 Durgapur Rd Shivaji Nagar Jairaj Nagar Tukum,Chandrapur,442401,Maharashtra,No Data
ABAJ111,A.N.K Real Estate Group,Zuber Quazi,Plot No.81 Pannalal Nagar Road Osmanpura Opposite Ganpati Ma,Aurangabad,440018,Maharashtra,No Data
APCV937,A.R Ply & Hardware,Abdul Rehman,Hanafee Complex Bhiwapur Ward Jatpuragte,Chandrapur,442401,Maharashtra,No Data
APAV902,A.R. Ply & Doors,Abdul Raheem,V82X+5V3 Beed Bypass Rd Deluxe Bazar Opp. Prashant Hotel,Aurangabad,431005,Maharashtra,No Data
AEAP382,A.R.Enterprises,Yogesh Patil,Manik Arcade Shop No. L6 Kalda Corner Chetana Nagar,Aurangabad,431001,Maharashtra,No Data
AEND445,A.V Enterprises,Chandan Singh,Umred Road Dighori Naka  Besides Indian Oil Petrol Pump Near,Nagpur,462011,Maharashtra,No Data
ASBD1054,A1 Attitude Wellness,Unknown,14 Sahyog Vihar Near Shahpura Thana Gulmohar Colony Beh,Bhopal,462039,Madhya Pradesh,No Data
ACAS183,A1 Computers,Ashutosh Godhankar,Shrddha Shree Apartment Near Hindduja Leyland FiNo Datace Shil,Amravati,444607,Maharashtra,No Data
ADAN327,A1 Motor Driving School,Ajay,Mangrulpir RoadOpposite Sarkari Godau,Akola,444001,Maharashtra,No Data
AEBP410,A-2 Enterprises ( Ac World),Akhilesh Pande,170 Near Sargam Cinema Zoneii Maharana Pratap Nagar,Bhopal,462011,Madhya Pradesh,No Data
ADBD343,Aabha Poly Clinic,Dr Mittlesh Sharma,Plot No 18 Third Floor Zone 1 M P Nagar Near Batra Hospital,Bhopal,456010,Madhya Pradesh,No Data
AJNR743,Aabhushan Jewellery,Sanjay,Near Ajit Bakery Ajni Squaree Near Haldiram Hotel Wardha Roa,Nagpur,440015,Maharashtra,No Data
AFND504,Aachidi Foods,Kalpesh,"Plot No. 48 49 Hirai Vihar Lavkush Nagar 
Tapasya Square Man",Nagpur,462003,Maharashtra,No Data
APBD907,Aadarsh Home Care,Pranjal  Mishra,M P Nagar Near Getanjali School,Bhopal,462030,Madhya Pradesh,No Data
AHBP627,Aadarsh Hostel,Zahir Khan,House No 37 Hinotiya Ashoka Garden,Bhopal,462042,Madhya Pradesh,No Data
AKBP745,Aadesh Distributores,Deepak Patel,Plot No 89 Sector A Govindpura Industrial Area,Bhopal,462022,Madhya Pradesh,No Data
AHBP628,Aadhaar Hospital Multispeciality,Dr.Rafeeq Khan,"Shop No. 9 Nayapura
 Kolar Road
 Near Alok Dham Marriage Gar",Bhopal,431005,Madhya Pradesh,No Data
AHBP629,Aadhaar Hospital Multispeciality Unit,Vitin Dube,Plot No 32 By Pass Road Radha Krishna Colony Karond,Bhopal,462023,Madhya Pradesh,No Data
AFBA481,Aadhira Collection Agency,Balraj Torankar,No Data,Bhandara,441904,Maharashtra,No Data
AECN422,Aadinath,Unknown,No Data,Chhindwara,480001,Madhya Pradesh,No Data
